Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.07     0.00       57     0.00     0.00  __gnu_cxx::new_allocator<Actor*>::new_allocator(__gnu_cxx::new_allocator<Actor*> const&)
  0.00      0.07     0.00       57     0.00     0.00  __gnu_cxx::new_allocator<Actor*>::new_allocator()
  0.00      0.07     0.00       57     0.00     0.00  std::allocator<Actor*>::allocator()
  0.00      0.07     0.00       57     0.00     0.00  std::allocator<Actor*>::allocator(std::allocator<Actor*> const&)
  0.00      0.07     0.00       57     0.00     0.00  std::allocator<Actor*>::~allocator()
  0.00      0.07     0.00       57     0.00     0.00  std::_Vector_base<Actor*, std::allocator<Actor*> >::_Vector_impl::_Vector_impl(std::allocator<Actor*> const&)
  0.00      0.07     0.00       57     0.00     0.00  std::_Vector_base<Actor*, std::allocator<Actor*> >::_Vector_base(std::allocator<Actor*> const&)
  0.00      0.07     0.00       57     0.00     0.00  std::vector<Actor*, std::allocator<Actor*> >::vector(std::allocator<Actor*> const&)
  0.00      0.07     0.00       56     0.00     0.00  __gnu_cxx::__normal_iterator<Actor* const*, std::vector<Actor*, std::allocator<Actor*> > >::__normal_iterator(Actor* const* const&)
  0.00      0.07     0.00       56     0.00     0.00  __gnu_cxx::__normal_iterator<Actor* const*, std::vector<Actor*, std::allocator<Actor*> > >::base() const
  0.00      0.07     0.00       56     0.00     0.00  __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > > std::uninitialized_copy<__gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > > >(__gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >)
  0.00      0.07     0.00       56     0.00     0.00  __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > > std::__uninitialized_copy_aux<__gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > > >(__gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __true_type)
  0.00      0.07     0.00       40     0.00     0.00  __gnu_cxx::__normal_iterator<Vector const*, std::vector<Vector, std::allocator<Vector> > >::__normal_iterator(Vector const* const&)
  0.00      0.07     0.00       40     0.00     0.00  __gnu_cxx::__normal_iterator<Vector const*, std::vector<Vector, std::allocator<Vector> > >::base() const
  0.00      0.07     0.00       40     0.00     1.39  __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > > std::uninitialized_copy<__gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >, __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > > >(__gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >, __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >, __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >)
  0.00      0.07     0.00       40     0.00     1.39  __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > > std::__uninitialized_copy_aux<__gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >, __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > > >(__gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >, __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >, __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >, __false_type)
  0.00      0.07     0.00       36     0.00     0.00  std::_Vector_base<Actor*, std::allocator<Actor*> >::_M_deallocate(Actor**, unsigned int)
  0.00      0.07     0.00       31     0.00     0.00  Projectile::Projectile()
  0.00      0.07     0.00       31     0.00     0.00  Character::fireProjectile(Vector, int)
  0.00      0.07     0.00       28     0.00     0.00  Projectile::~Projectile()
  0.00      0.07     0.00       28     0.00     0.00  __gnu_cxx::new_allocator<Actor*>::allocate(unsigned int, void const*)
  0.00      0.07     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >::operator++()
  0.00      0.07     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<Actor* const*, std::vector<Actor*, std::allocator<Actor*> > >::difference_type __gnu_cxx::operator-<Actor* const*, Actor* const*, std::vector<Actor*, std::allocator<Actor*> > >(__gnu_cxx::__normal_iterator<Actor* const*, std::vector<Actor*, std::allocator<Actor*> > > const&, __gnu_cxx::__normal_iterator<Actor* const*, std::vector<Actor*, std::allocator<Actor*> > > const&)
  0.00      0.07     0.00       28     0.00     0.00  std::vector<Actor*, std::allocator<Actor*> >::end() const
  0.00      0.07     0.00       28     0.00     0.00  std::vector<Actor*, std::allocator<Actor*> >::size() const
  0.00      0.07     0.00       28     0.00     0.00  std::vector<Actor*, std::allocator<Actor*> >::begin() const
  0.00      0.07     0.00       28     0.00     0.00  std::_Vector_base<Actor*, std::allocator<Actor*> >::_M_allocate(unsigned int)
  0.00      0.07     0.00       28     0.00     0.00  std::vector<Actor*, std::allocator<Actor*> >::_M_insert_aux(__gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, Actor* const&)
  0.00      0.07     0.00       28     0.00     0.00  void std::__destroy_aux<__gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > > >(__gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __true_type)
  0.00      0.07     0.00       28     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > > >(__gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >, __gnu_cxx::__normal_iterator<Actor**, std::vector<Actor*, std::allocator<Actor*> > >)
  0.00      0.07     0.00       20     0.00     0.00  __gnu_cxx::new_allocator<Vector>::allocate(unsigned int, void const*)
  0.00      0.07     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<SDL_Color const*, std::vector<SDL_Color, std::allocator<SDL_Color> > >::__normal_iterator(SDL_Color const* const&)
  0.00      0.07     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<Vector const*, std::vector<Vector, std::allocator<Vector> > >::difference_type __gnu_cxx::operator-<Vector const*, Vector const*, std::vector<Vector, std::allocator<Vector> > >(__gnu_cxx::__normal_iterator<Vector const*, std::vector<Vector, std::allocator<Vector> > > const&, __gnu_cxx::__normal_iterator<Vector const*, std::vector<Vector, std::allocator<Vector> > > const&)
  0.00      0.07     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<SDL_Color const*, std::vector<SDL_Color, std::allocator<SDL_Color> > >::base() const
  0.00      0.07     0.00       20     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::end() const
  0.00      0.07     0.00       20     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::size() const
  0.00      0.07     0.00       20     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::begin() const
  0.00      0.07     0.00       20     0.00     0.00  std::_Vector_base<Vector, std::allocator<Vector> >::_M_allocate(unsigned int)
  0.00      0.07     0.00       20     0.00     0.00  std::_Vector_base<Vector, std::allocator<Vector> >::_M_deallocate(Vector*, unsigned int)
  0.00      0.07     0.00       20     0.00     4.40  std::vector<Vector, std::allocator<Vector> >::_M_insert_aux(__gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >, Vector const&)
  0.00      0.07     0.00       20     0.00     0.00  std::vector<SDL_Color, std::allocator<SDL_Color> >::end()
  0.00      0.07     0.00       20     0.00     1.39  void std::__destroy_aux<__gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > > >(__gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >, __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >, __false_type)
  0.00      0.07     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > > std::uninitialized_copy<__gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >, __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > > >(__gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >, __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >, __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >)
  0.00      0.07     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > > std::__uninitialized_copy_aux<__gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >, __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > > >(__gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >, __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >, __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >, __false_type)
  0.00      0.07     0.00       20     0.00     1.39  void std::_Destroy<__gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > > >(__gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >, __gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >)
  0.00      0.07     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<Vector>::deallocate(Vector*, unsigned int)
  0.00      0.07     0.00       18     0.00     0.00  __gnu_cxx::new_allocator<Actor*>::deallocate(Actor**, unsigned int)
  0.00      0.07     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<SDL_Color>::allocate(unsigned int, void const*)
  0.00      0.07     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<SDL_Color const*, std::vector<SDL_Color, std::allocator<SDL_Color> > >::difference_type __gnu_cxx::operator-<SDL_Color const*, SDL_Color const*, std::vector<SDL_Color, std::allocator<SDL_Color> > >(__gnu_cxx::__normal_iterator<SDL_Color const*, std::vector<SDL_Color, std::allocator<SDL_Color> > > const&, __gnu_cxx::__normal_iterator<SDL_Color const*, std::vector<SDL_Color, std::allocator<SDL_Color> > > const&)
  0.00      0.07     0.00       10     0.00     0.00  std::vector<SDL_Color, std::allocator<SDL_Color> >::end() const
  0.00      0.07     0.00       10     0.00     0.00  std::vector<SDL_Color, std::allocator<SDL_Color> >::size() const
  0.00      0.07     0.00       10     0.00     0.00  std::vector<SDL_Color, std::allocator<SDL_Color> >::begin() const
  0.00      0.07     0.00       10     0.00     0.00  std::_Vector_base<SDL_Color, std::allocator<SDL_Color> >::_M_allocate(unsigned int)
  0.00      0.07     0.00       10     0.00     0.00  std::_Vector_base<SDL_Color, std::allocator<SDL_Color> >::_M_deallocate(SDL_Color*, unsigned int)
  0.00      0.07     0.00       10     0.00     0.00  std::vector<SDL_Color, std::allocator<SDL_Color> >::_M_insert_aux(__gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >, SDL_Color const&)
  0.00      0.07     0.00       10     0.00     0.00  void std::__destroy_aux<__gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > > >(__gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >, __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >, __false_type)
  0.00      0.07     0.00       10     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > > >(__gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >, __gnu_cxx::__normal_iterator<SDL_Color*, std::vector<SDL_Color, std::allocator<SDL_Color> > >)
  0.00      0.07     0.00        9     0.00     0.00  __gnu_cxx::new_allocator<SDL_Color>::deallocate(SDL_Color*, unsigned int)
  0.00      0.07     0.00        9     0.00     0.00  sprintf
  0.00      0.07     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Display* const*, std::vector<Display*, std::allocator<Display*> > >::__normal_iterator(Display* const* const&)
  0.00      0.07     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Display* const*, std::vector<Display*, std::allocator<Display*> > >::base() const
  0.00      0.07     0.00        8     0.00     0.00  std::allocator<Actor*>::~allocator()
  0.00      0.07     0.00        8     0.00     0.00  std::_Vector_base<Actor*, std::allocator<Actor*> >::_Vector_impl::~_Vector_impl()
  0.00      0.07     0.00        8     0.00     0.00  std::_Vector_base<Actor*, std::allocator<Actor*> >::~_Vector_base()
  0.00      0.07     0.00        8     0.00     0.00  std::vector<Actor*, std::allocator<Actor*> >::~vector()
  0.00      0.07     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > > std::__copy_ni1<__gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >, __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > > >(__gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >, __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >, __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >, __true_type)
  0.00      0.07     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > > std::__copy_ni2<Display**, __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > > >(Display**, Display**, __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >, __true_type)
  0.00      0.07     0.00        8     0.00     0.00  Display** std::__copy_aux2<Display*>(Display**, Display**, Display**, __true_type)
  0.00      0.07     0.00        8     0.00     0.00  void std::__destroy_aux<Actor**>(Actor**, Actor**, __true_type)
  0.00      0.07     0.00        8     0.00     0.00  Display** std::__copy_trivial<Display*>(Display* const*, Display* const*, Display**)
  0.00      0.07     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > > std::uninitialized_copy<__gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >, __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > > >(__gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >, __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >, __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >)
  0.00      0.07     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > > std::__uninitialized_copy_aux<__gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >, __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > > >(__gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >, __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >, __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >, __true_type)
  0.00      0.07     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > > std::copy<__gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >, __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > > >(__gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >, __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >, __gnu_cxx::__normal_iterator<Display**, std::vector<Display*, std::allocator<Display*> > >)
  0.00      0.07     0.00        8     0.00     0.00  void std::_Destroy<Actor**>(Actor**, Actor**)
